w,c1=c2,epoch,g_best
0.1,0.5,0,3708.75
0.1,0.5,1,5608.51
0.1,0.5,2,6746.66
0.1,0.5,3,6101.84
0.1,0.5,4,5119.14
0.1,0.5,5,6871.26
0.1,0.5,6,9228.56
0.1,0.5,7,5187.93
0.1,0.5,8,5378.44
0.1,0.5,9,4013.45
0.1,0.5,10,5313.25
0.1,0.5,11,4754.8
0.1,0.5,12,3626.65
0.1,0.5,13,5153.3
0.1,0.5,14,5373.81
0.1,0.5,15,10001.4
0.1,0.5,16,5399.51
0.1,0.5,17,6047.37
0.1,0.5,18,5987.3
0.1,0.5,19,8175.85
0.1,0.5,20,5231.99
0.1,0.5,21,4059.57
0.1,0.5,22,5047.05
0.1,0.5,23,5412.08
0.1,0.5,24,10002.8
0.1,0.5,25,3893.93
0.1,0.5,26,4060.51
0.1,0.5,27,6461.49
0.1,0.5,28,3212.01
0.1,0.5,29,5664.21
0.1,1,0,9218.56
0.1,1,1,6881.76
0.1,1,2,14794.5
0.1,1,3,9062.97
0.1,1,4,13823
0.1,1,5,5169.28
0.1,1,6,8802.11
0.1,1,7,12975.6
0.1,1,8,7733.34
0.1,1,9,6045.12
0.1,1,10,5853.35
0.1,1,11,9010.19
0.1,1,12,8447.82
0.1,1,13,7714.74
0.1,1,14,11373.7
0.1,1,15,9557.58
0.1,1,16,10142.6
0.1,1,17,4694.18
0.1,1,18,9852.74
0.1,1,19,8704.4
0.1,1,20,11599.9
0.1,1,21,11186.6
0.1,1,22,8098.99
0.1,1,23,5573.5
0.1,1,24,10636.9
0.1,1,25,5443.05
0.1,1,26,8583.08
0.1,1,27,7972.63
0.1,1,28,12207.3
0.1,1,29,11040.6
0.1,1.5,0,7998.71
0.1,1.5,1,9519.95
0.1,1.5,2,3823.45
0.1,1.5,3,6353.76
0.1,1.5,4,4082.08
0.1,1.5,5,4439.77
0.1,1.5,6,5398.12
0.1,1.5,7,4882.96
0.1,1.5,8,6025.5
0.1,1.5,9,6285
0.1,1.5,10,7961.97
0.1,1.5,11,11966.9
0.1,1.5,12,6581.18
0.1,1.5,13,11478.4
0.1,1.5,14,5034.67
0.1,1.5,15,4882.32
0.1,1.5,16,6072.23
0.1,1.5,17,6438.68
0.1,1.5,18,3885.42
0.1,1.5,19,3808.32
0.1,1.5,20,2914.19
0.1,1.5,21,12030
0.1,1.5,22,3448.44
0.1,1.5,23,7203.2
0.1,1.5,24,12749.5
0.1,1.5,25,9539.15
0.1,1.5,26,3911.01
0.1,1.5,27,4089.83
0.1,1.5,28,5479.91
0.1,1.5,29,13174.8
0.1,2,0,1.92615e-14
0.1,2,1,1.30186e-15
0.1,2,2,7.01481e-15
0.1,2,3,3.10134e-12
0.1,2,4,3.65504e-14
0.1,2,5,0.00111868
0.1,2,6,1.50288e-11
0.1,2,7,2.2655e-13
0.1,2,8,5.17466e-11
0.1,2,9,1.82156e-13
0.1,2,10,4.40578e-13
0.1,2,11,3.32974e-15
0.1,2,12,5.94331e-13
0.1,2,13,1.58712e-14
0.1,2,14,1.44753e-05
0.1,2,15,2.80579e-11
0.1,2,16,2.98333e-14
0.1,2,17,1.44011e-14
0.1,2,18,5.63848e-10
0.1,2,19,2.794e-10
0.1,2,20,1.36052e-10
0.1,2,21,8.68772e-12
0.1,2,22,9.48284e-14
0.1,2,23,3.121e-09
0.1,2,24,2.25785e-10
0.1,2,25,6.05908e-15
0.1,2,26,3.63976e-13
0.1,2,27,5.20701e-10
0.1,2,28,1.21036e-14
0.1,2,29,2.66868e-14
0.1,2.5,0,7118.26
0.1,2.5,1,14155.5
0.1,2.5,2,3626.03
0.1,2.5,3,6908.7
0.1,2.5,4,10050.9
0.1,2.5,5,14619.8
0.1,2.5,6,5112.57
0.1,2.5,7,5919.24
0.1,2.5,8,9256.2
0.1,2.5,9,9177.11
0.1,2.5,10,6439.46
0.1,2.5,11,7322.12
0.1,2.5,12,6068.47
0.1,2.5,13,4742.6
0.1,2.5,14,7288.87
0.1,2.5,15,9614.85
0.1,2.5,16,15413.5
0.1,2.5,17,7502.47
0.1,2.5,18,6921.52
0.1,2.5,19,11245.5
0.1,2.5,20,11542.5
0.1,2.5,21,8251.66
0.1,2.5,22,5488.19
0.1,2.5,23,1612.82
0.1,2.5,24,12172
0.1,2.5,25,7438.24
0.1,2.5,26,8306.02
0.1,2.5,27,13111.2
0.1,2.5,28,9672.92
0.1,2.5,29,3875.11
0.1,3,0,27862.7
0.1,3,1,20951.7
0.1,3,2,26116.9
0.1,3,3,16980.7
0.1,3,4,27704
0.1,3,5,25437.6
0.1,3,6,25647.2
0.1,3,7,19345.6
0.1,3,8,20620.1
0.1,3,9,20395.2
0.1,3,10,27004.5
0.1,3,11,28619.3
0.1,3,12,19906.3
0.1,3,13,27028.2
0.1,3,14,28300.1
0.1,3,15,24800.1
0.1,3,16,21630.7
0.1,3,17,29439.1
0.1,3,18,15814.7
0.1,3,19,23904.3
0.1,3,20,31127.5
0.1,3,21,22223.6
0.1,3,22,17711.4
0.1,3,23,28176.9
0.1,3,24,15221.4
0.1,3,25,25285.3
0.1,3,26,28249.7
0.1,3,27,25344.1
0.1,3,28,21479.5
0.1,3,29,26955.7
0.1,3.5,0,37380.2
0.1,3.5,1,32004.5
0.1,3.5,2,22557.8
0.1,3.5,3,27155.6
0.1,3.5,4,30726.8
0.1,3.5,5,32500.8
0.1,3.5,6,24893.3
0.1,3.5,7,34403.5
0.1,3.5,8,33697
0.1,3.5,9,21265.6
0.1,3.5,10,33349
0.1,3.5,11,23603
0.1,3.5,12,28849.2
0.1,3.5,13,34795.7
0.1,3.5,14,34353.1
0.1,3.5,15,30403.2
0.1,3.5,16,30561.3
0.1,3.5,17,33601.2
0.1,3.5,18,34784.4
0.1,3.5,19,31634.2
0.1,3.5,20,33548.3
0.1,3.5,21,29540.1
0.1,3.5,22,29939.7
0.1,3.5,23,31626
0.1,3.5,24,27599.5
0.1,3.5,25,21346.4
0.1,3.5,26,32111.1
0.1,3.5,27,33870.3
0.1,3.5,28,25842.1
0.1,3.5,29,34741
0.2,0.5,0,11751.6
