w: 0.1, c1=c2: 0.5, epoch: 0, g_best: 3708.75
w: 0.1, c1=c2: 0.5, epoch: 1, g_best: 5608.51
w: 0.1, c1=c2: 0.5, epoch: 2, g_best: 6746.66
w: 0.1, c1=c2: 0.5, epoch: 3, g_best: 6101.84
w: 0.1, c1=c2: 0.5, epoch: 4, g_best: 5119.14
w: 0.1, c1=c2: 0.5, epoch: 5, g_best: 6871.26
w: 0.1, c1=c2: 0.5, epoch: 6, g_best: 9228.56
w: 0.1, c1=c2: 0.5, epoch: 7, g_best: 5187.93
w: 0.1, c1=c2: 0.5, epoch: 8, g_best: 5378.44
w: 0.1, c1=c2: 0.5, epoch: 9, g_best: 4013.45
w: 0.1, c1=c2: 0.5, epoch: 10, g_best: 5313.25
w: 0.1, c1=c2: 0.5, epoch: 11, g_best: 4754.8
w: 0.1, c1=c2: 0.5, epoch: 12, g_best: 3626.65
w: 0.1, c1=c2: 0.5, epoch: 13, g_best: 5153.3
w: 0.1, c1=c2: 0.5, epoch: 14, g_best: 5373.81
w: 0.1, c1=c2: 0.5, epoch: 15, g_best: 10001.4
w: 0.1, c1=c2: 0.5, epoch: 16, g_best: 5399.51
w: 0.1, c1=c2: 0.5, epoch: 17, g_best: 6047.37
w: 0.1, c1=c2: 0.5, epoch: 18, g_best: 5987.3
w: 0.1, c1=c2: 0.5, epoch: 19, g_best: 8175.85
w: 0.1, c1=c2: 0.5, epoch: 20, g_best: 5231.99
w: 0.1, c1=c2: 0.5, epoch: 21, g_best: 4059.57
w: 0.1, c1=c2: 0.5, epoch: 22, g_best: 5047.05
w: 0.1, c1=c2: 0.5, epoch: 23, g_best: 5412.08
w: 0.1, c1=c2: 0.5, epoch: 24, g_best: 10002.8
w: 0.1, c1=c2: 0.5, epoch: 25, g_best: 3893.93
w: 0.1, c1=c2: 0.5, epoch: 26, g_best: 4060.51
w: 0.1, c1=c2: 0.5, epoch: 27, g_best: 6461.49
w: 0.1, c1=c2: 0.5, epoch: 28, g_best: 3212.01
w: 0.1, c1=c2: 0.5, epoch: 29, g_best: 5664.21
w: 0.1, c1=c2: 1, epoch: 0, g_best: 9218.56
w: 0.1, c1=c2: 1, epoch: 1, g_best: 6881.76
w: 0.1, c1=c2: 1, epoch: 2, g_best: 14794.5
w: 0.1, c1=c2: 1, epoch: 3, g_best: 9062.97
w: 0.1, c1=c2: 1, epoch: 4, g_best: 13823
w: 0.1, c1=c2: 1, epoch: 5, g_best: 5169.28
w: 0.1, c1=c2: 1, epoch: 6, g_best: 8802.11
w: 0.1, c1=c2: 1, epoch: 7, g_best: 12975.6
w: 0.1, c1=c2: 1, epoch: 8, g_best: 7733.34
w: 0.1, c1=c2: 1, epoch: 9, g_best: 6045.12
w: 0.1, c1=c2: 1, epoch: 10, g_best: 5853.35
w: 0.1, c1=c2: 1, epoch: 11, g_best: 9010.19
w: 0.1, c1=c2: 1, epoch: 12, g_best: 8447.82
w: 0.1, c1=c2: 1, epoch: 13, g_best: 7714.74
w: 0.1, c1=c2: 1, epoch: 14, g_best: 11373.7
w: 0.1, c1=c2: 1, epoch: 15, g_best: 9557.58
w: 0.1, c1=c2: 1, epoch: 16, g_best: 10142.6
w: 0.1, c1=c2: 1, epoch: 17, g_best: 4694.18
w: 0.1, c1=c2: 1, epoch: 18, g_best: 9852.74
w: 0.1, c1=c2: 1, epoch: 19, g_best: 8704.4
w: 0.1, c1=c2: 1, epoch: 20, g_best: 11599.9
w: 0.1, c1=c2: 1, epoch: 21, g_best: 11186.6
w: 0.1, c1=c2: 1, epoch: 22, g_best: 8098.99
w: 0.1, c1=c2: 1, epoch: 23, g_best: 5573.5
w: 0.1, c1=c2: 1, epoch: 24, g_best: 10636.9
w: 0.1, c1=c2: 1, epoch: 25, g_best: 5443.05
w: 0.1, c1=c2: 1, epoch: 26, g_best: 8583.08
w: 0.1, c1=c2: 1, epoch: 27, g_best: 7972.63
w: 0.1, c1=c2: 1, epoch: 28, g_best: 12207.3
w: 0.1, c1=c2: 1, epoch: 29, g_best: 11040.6
w: 0.1, c1=c2: 1.5, epoch: 0, g_best: 7998.71
w: 0.1, c1=c2: 1.5, epoch: 1, g_best: 9519.95
w: 0.1, c1=c2: 1.5, epoch: 2, g_best: 3823.45
w: 0.1, c1=c2: 1.5, epoch: 3, g_best: 6353.76
w: 0.1, c1=c2: 1.5, epoch: 4, g_best: 4082.08
w: 0.1, c1=c2: 1.5, epoch: 5, g_best: 4439.77
w: 0.1, c1=c2: 1.5, epoch: 6, g_best: 5398.12
w: 0.1, c1=c2: 1.5, epoch: 7, g_best: 4882.96
w: 0.1, c1=c2: 1.5, epoch: 8, g_best: 6025.5
w: 0.1, c1=c2: 1.5, epoch: 9, g_best: 6285
w: 0.1, c1=c2: 1.5, epoch: 10, g_best: 7961.97
w: 0.1, c1=c2: 1.5, epoch: 11, g_best: 11966.9
w: 0.1, c1=c2: 1.5, epoch: 12, g_best: 6581.18
w: 0.1, c1=c2: 1.5, epoch: 13, g_best: 11478.4
w: 0.1, c1=c2: 1.5, epoch: 14, g_best: 5034.67
w: 0.1, c1=c2: 1.5, epoch: 15, g_best: 4882.32
w: 0.1, c1=c2: 1.5, epoch: 16, g_best: 6072.23
w: 0.1, c1=c2: 1.5, epoch: 17, g_best: 6438.68
w: 0.1, c1=c2: 1.5, epoch: 18, g_best: 3885.42
w: 0.1, c1=c2: 1.5, epoch: 19, g_best: 3808.32
w: 0.1, c1=c2: 1.5, epoch: 20, g_best: 2914.19
w: 0.1, c1=c2: 1.5, epoch: 21, g_best: 12030
w: 0.1, c1=c2: 1.5, epoch: 22, g_best: 3448.44
w: 0.1, c1=c2: 1.5, epoch: 23, g_best: 7203.2
w: 0.1, c1=c2: 1.5, epoch: 24, g_best: 12749.5
w: 0.1, c1=c2: 1.5, epoch: 25, g_best: 9539.15
w: 0.1, c1=c2: 1.5, epoch: 26, g_best: 3911.01
w: 0.1, c1=c2: 1.5, epoch: 27, g_best: 4089.83
w: 0.1, c1=c2: 1.5, epoch: 28, g_best: 5479.91
w: 0.1, c1=c2: 1.5, epoch: 29, g_best: 13174.8
w: 0.1, c1=c2: 2, epoch: 0, g_best: 1.92615e-14
w: 0.1, c1=c2: 2, epoch: 1, g_best: 1.30186e-15
w: 0.1, c1=c2: 2, epoch: 2, g_best: 7.01481e-15
w: 0.1, c1=c2: 2, epoch: 3, g_best: 3.10134e-12
w: 0.1, c1=c2: 2, epoch: 4, g_best: 3.65504e-14
w: 0.1, c1=c2: 2, epoch: 5, g_best: 0.00111868
w: 0.1, c1=c2: 2, epoch: 6, g_best: 1.50288e-11
w: 0.1, c1=c2: 2, epoch: 7, g_best: 2.2655e-13
w: 0.1, c1=c2: 2, epoch: 8, g_best: 5.17466e-11
w: 0.1, c1=c2: 2, epoch: 9, g_best: 1.82156e-13
w: 0.1, c1=c2: 2, epoch: 10, g_best: 4.40578e-13
w: 0.1, c1=c2: 2, epoch: 11, g_best: 3.32974e-15
w: 0.1, c1=c2: 2, epoch: 12, g_best: 5.94331e-13
w: 0.1, c1=c2: 2, epoch: 13, g_best: 1.58712e-14
w: 0.1, c1=c2: 2, epoch: 14, g_best: 1.44753e-05
w: 0.1, c1=c2: 2, epoch: 15, g_best: 2.80579e-11
w: 0.1, c1=c2: 2, epoch: 16, g_best: 2.98333e-14
w: 0.1, c1=c2: 2, epoch: 17, g_best: 1.44011e-14
w: 0.1, c1=c2: 2, epoch: 18, g_best: 5.63848e-10
w: 0.1, c1=c2: 2, epoch: 19, g_best: 2.794e-10
w: 0.1, c1=c2: 2, epoch: 20, g_best: 1.36052e-10
w: 0.1, c1=c2: 2, epoch: 21, g_best: 8.68772e-12
w: 0.1, c1=c2: 2, epoch: 22, g_best: 9.48284e-14
w: 0.1, c1=c2: 2, epoch: 23, g_best: 3.121e-09
w: 0.1, c1=c2: 2, epoch: 24, g_best: 2.25785e-10
w: 0.1, c1=c2: 2, epoch: 25, g_best: 6.05908e-15
w: 0.1, c1=c2: 2, epoch: 26, g_best: 3.63976e-13
w: 0.1, c1=c2: 2, epoch: 27, g_best: 5.20701e-10
w: 0.1, c1=c2: 2, epoch: 28, g_best: 1.21036e-14
w: 0.1, c1=c2: 2, epoch: 29, g_best: 2.66868e-14
w: 0.1, c1=c2: 2.5, epoch: 0, g_best: 7118.26
w: 0.1, c1=c2: 2.5, epoch: 1, g_best: 14155.5
w: 0.1, c1=c2: 2.5, epoch: 2, g_best: 3626.03
w: 0.1, c1=c2: 2.5, epoch: 3, g_best: 6908.7
w: 0.1, c1=c2: 2.5, epoch: 4, g_best: 10050.9
w: 0.1, c1=c2: 2.5, epoch: 5, g_best: 14619.8
w: 0.1, c1=c2: 2.5, epoch: 6, g_best: 5112.57
w: 0.1, c1=c2: 2.5, epoch: 7, g_best: 5919.24
w: 0.1, c1=c2: 2.5, epoch: 8, g_best: 9256.2
w: 0.1, c1=c2: 2.5, epoch: 9, g_best: 9177.11
w: 0.1, c1=c2: 2.5, epoch: 10, g_best: 6439.46
w: 0.1, c1=c2: 2.5, epoch: 11, g_best: 7322.12
w: 0.1, c1=c2: 2.5, epoch: 12, g_best: 6068.47
w: 0.1, c1=c2: 2.5, epoch: 13, g_best: 4742.6
w: 0.1, c1=c2: 2.5, epoch: 14, g_best: 7288.87
w: 0.1, c1=c2: 2.5, epoch: 15, g_best: 9614.85
w: 0.1, c1=c2: 2.5, epoch: 16, g_best: 15413.5
w: 0.1, c1=c2: 2.5, epoch: 17, g_best: 7502.47
w: 0.1, c1=c2: 2.5, epoch: 18, g_best: 6921.52
w: 0.1, c1=c2: 2.5, epoch: 19, g_best: 11245.5
w: 0.1, c1=c2: 2.5, epoch: 20, g_best: 11542.5
w: 0.1, c1=c2: 2.5, epoch: 21, g_best: 8251.66
w: 0.1, c1=c2: 2.5, epoch: 22, g_best: 5488.19
w: 0.1, c1=c2: 2.5, epoch: 23, g_best: 1612.82
w: 0.1, c1=c2: 2.5, epoch: 24, g_best: 12172
w: 0.1, c1=c2: 2.5, epoch: 25, g_best: 7438.24
w: 0.1, c1=c2: 2.5, epoch: 26, g_best: 8306.02
w: 0.1, c1=c2: 2.5, epoch: 27, g_best: 13111.2
w: 0.1, c1=c2: 2.5, epoch: 28, g_best: 9672.92
w: 0.1, c1=c2: 2.5, epoch: 29, g_best: 3875.11
w: 0.1, c1=c2: 3, epoch: 0, g_best: 27862.7
w: 0.1, c1=c2: 3, epoch: 1, g_best: 20951.7
w: 0.1, c1=c2: 3, epoch: 2, g_best: 26116.9
w: 0.1, c1=c2: 3, epoch: 3, g_best: 16980.7
w: 0.1, c1=c2: 3, epoch: 4, g_best: 27704
w: 0.1, c1=c2: 3, epoch: 5, g_best: 25437.6
w: 0.1, c1=c2: 3, epoch: 6, g_best: 25647.2
w: 0.1, c1=c2: 3, epoch: 7, g_best: 19345.6
w: 0.1, c1=c2: 3, epoch: 8, g_best: 20620.1
w: 0.1, c1=c2: 3, epoch: 9, g_best: 20395.2
w: 0.1, c1=c2: 3, epoch: 10, g_best: 27004.5
w: 0.1, c1=c2: 3, epoch: 11, g_best: 28619.3
w: 0.1, c1=c2: 3, epoch: 12, g_best: 19906.3
w: 0.1, c1=c2: 3, epoch: 13, g_best: 27028.2
w: 0.1, c1=c2: 3, epoch: 14, g_best: 28300.1
w: 0.1, c1=c2: 3, epoch: 15, g_best: 24800.1
w: 0.1, c1=c2: 3, epoch: 16, g_best: 21630.7
w: 0.1, c1=c2: 3, epoch: 17, g_best: 29439.1
w: 0.1, c1=c2: 3, epoch: 18, g_best: 15814.7
w: 0.1, c1=c2: 3, epoch: 19, g_best: 23904.3
w: 0.1, c1=c2: 3, epoch: 20, g_best: 31127.5
w: 0.1, c1=c2: 3, epoch: 21, g_best: 22223.6
w: 0.1, c1=c2: 3, epoch: 22, g_best: 17711.4
w: 0.1, c1=c2: 3, epoch: 23, g_best: 28176.9
w: 0.1, c1=c2: 3, epoch: 24, g_best: 15221.4
w: 0.1, c1=c2: 3, epoch: 25, g_best: 25285.3
w: 0.1, c1=c2: 3, epoch: 26, g_best: 28249.7
w: 0.1, c1=c2: 3, epoch: 27, g_best: 25344.1
w: 0.1, c1=c2: 3, epoch: 28, g_best: 21479.5
w: 0.1, c1=c2: 3, epoch: 29, g_best: 26955.7
w: 0.1, c1=c2: 3.5, epoch: 0, g_best: 37380.2
w: 0.1, c1=c2: 3.5, epoch: 1, g_best: 32004.5
w: 0.1, c1=c2: 3.5, epoch: 2, g_best: 22557.8
w: 0.1, c1=c2: 3.5, epoch: 3, g_best: 27155.6
w: 0.1, c1=c2: 3.5, epoch: 4, g_best: 30726.8
w: 0.1, c1=c2: 3.5, epoch: 5, g_best: 32500.8
w: 0.1, c1=c2: 3.5, epoch: 6, g_best: 24893.3
w: 0.1, c1=c2: 3.5, epoch: 7, g_best: 34403.5
w: 0.1, c1=c2: 3.5, epoch: 8, g_best: 33697
w: 0.1, c1=c2: 3.5, epoch: 9, g_best: 21265.6
w: 0.1, c1=c2: 3.5, epoch: 10, g_best: 33349
w: 0.1, c1=c2: 3.5, epoch: 11, g_best: 23603
w: 0.1, c1=c2: 3.5, epoch: 12, g_best: 28849.2
w: 0.1, c1=c2: 3.5, epoch: 13, g_best: 34795.7
w: 0.1, c1=c2: 3.5, epoch: 14, g_best: 34353.1
w: 0.1, c1=c2: 3.5, epoch: 15, g_best: 30403.2
w: 0.1, c1=c2: 3.5, epoch: 16, g_best: 30561.3
w: 0.1, c1=c2: 3.5, epoch: 17, g_best: 33601.2
w: 0.1, c1=c2: 3.5, epoch: 18, g_best: 34784.4
w: 0.1, c1=c2: 3.5, epoch: 19, g_best: 31634.2
w: 0.1, c1=c2: 3.5, epoch: 20, g_best: 33548.3
w: 0.1, c1=c2: 3.5, epoch: 21, g_best: 29540.1
w: 0.1, c1=c2: 3.5, epoch: 22, g_best: 29939.7
w: 0.1, c1=c2: 3.5, epoch: 23, g_best: 31626
w: 0.1, c1=c2: 3.5, epoch: 24, g_best: 27599.5
w: 0.1, c1=c2: 3.5, epoch: 25, g_best: 21346.4
w: 0.1, c1=c2: 3.5, epoch: 26, g_best: 32111.1
w: 0.1, c1=c2: 3.5, epoch: 27, g_best: 33870.3
w: 0.1, c1=c2: 3.5, epoch: 28, g_best: 25842.1
w: 0.1, c1=c2: 3.5, epoch: 29, g_best: 34741
w: 0.2, c1=c2: 0.5, epoch: 0, g_best: 11751.6
w: 0.2, c1=c2: 0.5, epoch: 1, g_best: 6537.13
w: 0.2, c1=c2: 0.5, epoch: 2, g_best: 8253.56
w: 0.2, c1=c2: 0.5, epoch: 3, g_best: 6290.64
w: 0.2, c1=c2: 0.5, epoch: 4, g_best: 4281.19
w: 0.2, c1=c2: 0.5, epoch: 5, g_best: 8461.66
w: 0.2, c1=c2: 0.5, epoch: 6, g_best: 4692.85
w: 0.2, c1=c2: 0.5, epoch: 7, g_best: 7334.19
w: 0.2, c1=c2: 0.5, epoch: 8, g_best: 4826.96
w: 0.2, c1=c2: 0.5, epoch: 9, g_best: 9419.76
w: 0.2, c1=c2: 0.5, epoch: 10, g_best: 3215.73
w: 0.2, c1=c2: 0.5, epoch: 11, g_best: 5029.12
w: 0.2, c1=c2: 0.5, epoch: 12, g_best: 6507.2
w: 0.2, c1=c2: 0.5, epoch: 13, g_best: 4701.49
w: 0.2, c1=c2: 0.5, epoch: 14, g_best: 6041.15
w: 0.2, c1=c2: 0.5, epoch: 15, g_best: 6354.91
w: 0.2, c1=c2: 0.5, epoch: 16, g_best: 10780.4
w: 0.2, c1=c2: 0.5, epoch: 17, g_best: 10900.9
w: 0.2, c1=c2: 0.5, epoch: 18, g_best: 10741.3
w: 0.2, c1=c2: 0.5, epoch: 19, g_best: 5755.57
w: 0.2, c1=c2: 0.5, epoch: 20, g_best: 8248.58
w: 0.2, c1=c2: 0.5, epoch: 21, g_best: 9814.58
w: 0.2, c1=c2: 0.5, epoch: 22, g_best: 6158.67
w: 0.2, c1=c2: 0.5, epoch: 23, g_best: 5946.78
w: 0.2, c1=c2: 0.5, epoch: 24, g_best: 7750.46
w: 0.2, c1=c2: 0.5, epoch: 25, g_best: 4923.83
w: 0.2, c1=c2: 0.5, epoch: 26, g_best: 5230.56
w: 0.2, c1=c2: 0.5, epoch: 27, g_best: 7691.96
w: 0.2, c1=c2: 0.5, epoch: 28, g_best: 9422.5
w: 0.2, c1=c2: 0.5, epoch: 29, g_best: 6430.24
w: 0.2, c1=c2: 1, epoch: 0, g_best: 6217.05
w: 0.2, c1=c2: 1, epoch: 1, g_best: 7141.91
w: 0.2, c1=c2: 1, epoch: 2, g_best: 12126.8
w: 0.2, c1=c2: 1, epoch: 3, g_best: 13863.3
w: 0.2, c1=c2: 1, epoch: 4, g_best: 12807
w: 0.2, c1=c2: 1, epoch: 5, g_best: 6959.62
w: 0.2, c1=c2: 1, epoch: 6, g_best: 10311.9
w: 0.2, c1=c2: 1, epoch: 7, g_best: 7225.52
w: 0.2, c1=c2: 1, epoch: 8, g_best: 10475.1
w: 0.2, c1=c2: 1, epoch: 9, g_best: 11102.4
w: 0.2, c1=c2: 1, epoch: 10, g_best: 9719
w: 0.2, c1=c2: 1, epoch: 11, g_best: 6885.78
w: 0.2, c1=c2: 1, epoch: 12, g_best: 5096.61
w: 0.2, c1=c2: 1, epoch: 13, g_best: 5533.69
w: 0.2, c1=c2: 1, epoch: 14, g_best: 8683.13
w: 0.2, c1=c2: 1, epoch: 15, g_best: 8459.5
w: 0.2, c1=c2: 1, epoch: 16, g_best: 10297.3
w: 0.2, c1=c2: 1, epoch: 17, g_best: 6124.56
w: 0.2, c1=c2: 1, epoch: 18, g_best: 10114.3
w: 0.2, c1=c2: 1, epoch: 19, g_best: 13052.8
w: 0.2, c1=c2: 1, epoch: 20, g_best: 11311
w: 0.2, c1=c2: 1, epoch: 21, g_best: 10661.2
w: 0.2, c1=c2: 1, epoch: 22, g_best: 10771.3
w: 0.2, c1=c2: 1, epoch: 23, g_best: 10901.5
w: 0.2, c1=c2: 1, epoch: 24, g_best: 9837.01
w: 0.2, c1=c2: 1, epoch: 25, g_best: 10595.3
w: 0.2, c1=c2: 1, epoch: 26, g_best: 7429.65
w: 0.2, c1=c2: 1, epoch: 27, g_best: 14530.8
w: 0.2, c1=c2: 1, epoch: 28, g_best: 9951.37
w: 0.2, c1=c2: 1, epoch: 29, g_best: 7850.82
w: 0.2, c1=c2: 1.5, epoch: 0, g_best: 817.816
w: 0.2, c1=c2: 1.5, epoch: 1, g_best: 1505.39
w: 0.2, c1=c2: 1.5, epoch: 2, g_best: 3528.83
w: 0.2, c1=c2: 1.5, epoch: 3, g_best: 2938.9
w: 0.2, c1=c2: 1.5, epoch: 4, g_best: 3500.05
w: 0.2, c1=c2: 1.5, epoch: 5, g_best: 1070.53
w: 0.2, c1=c2: 1.5, epoch: 6, g_best: 1860.99
w: 0.2, c1=c2: 1.5, epoch: 7, g_best: 1031.67
w: 0.2, c1=c2: 1.5, epoch: 8, g_best: 3562.95
w: 0.2, c1=c2: 1.5, epoch: 9, g_best: 3647.72
w: 0.2, c1=c2: 1.5, epoch: 10, g_best: 3404.52
w: 0.2, c1=c2: 1.5, epoch: 11, g_best: 1672.1
w: 0.2, c1=c2: 1.5, epoch: 12, g_best: 3339.73
w: 0.2, c1=c2: 1.5, epoch: 13, g_best: 1856.15
w: 0.2, c1=c2: 1.5, epoch: 14, g_best: 3174.97
w: 0.2, c1=c2: 1.5, epoch: 15, g_best: 1489.09
w: 0.2, c1=c2: 1.5, epoch: 16, g_best: 2545.86
w: 0.2, c1=c2: 1.5, epoch: 17, g_best: 1712.53
w: 0.2, c1=c2: 1.5, epoch: 18, g_best: 3194.97
